id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number
28615767,Depression,Diagnostic,Which subgroup reported lower perceived social support when compared to adjustment disorder patients?,Recurrent depressive disorder patients,Anxiety disorder patients,Healthy individuals,First-episode depression patients,Recurrent depressive disorder patients,1
17291595,Obsessive/Compulsive Disorders,Factoid,Which group of patients exhibited lower levels of whole blood serotonin compared to healthy volunteers?,Healthy controls,Those with social anxiety disorder,Schizophrenic patients without obsessive-compulsive symptoms,Patients with obsessive-compulsive disorder,Patients with obsessive-compulsive disorder,4
38514191,Obsessive/Compulsive Disorders,Prognostic,How does the overexpression of the Slc1a1 gene in forebrain neurons potentially influence the response to amphetamine in relation to obsessive-compulsive disorder behaviors?,Decreases hyperactivity,Diminishes nerve response,Reduces locomotion,Increases stereotypy,Increases stereotypy,4
12787851,Obsessive/Compulsive Disorders,Preventive,"What treatment was shown to gradually decrease stereotypic behaviors in captive primates, which are similar to human obsessive-compulsive symptoms?",Behavioral modification training,Cognitive-behavioral therapy,Risperidone,Fluoxetine,Fluoxetine,4
24480417,Obsessive/Compulsive Disorders,Preventive,How does maternal obsessive-compulsive disorder during pregnancy potentially affect fetal brain development?,By reducing maternal anxiety symptoms,By decreasing fetal TNF-Î± levels,By improving maternal mental health,By increasing fetal neuroinflammation,By increasing fetal neuroinflammation,4
22402913,Anxiety,Preventive,Which type of training is proposed to help manage anxiety and improve performance in basketball players?,Cognitive-behavioral therapy,Physical endurance training,Nutritional supplementation,Heart rate variability biofeedback,Heart rate variability biofeedback,4
23469704,Anxiety,Prognostic,How does variability in anxiety levels potentially influence individual differences in olfactory perception?,No impact on olfactory perception,Increases sensitivity to odors,Affects olfactory memory,Decreases odor identification,Increases sensitivity to odors,2
33305979,Anxiety,Factoid,What psychological symptoms showed a significant decrease in patients after participating in the Mindful Awareness Practices program for adults with ADHD?,Post-traumatic stress symptoms,ADHD symptoms,Obsessive thoughts,Bipolar symptoms,ADHD symptoms,2
36156917,Anxiety,Prognostic,How might an increase in screen time during the pandemic impact adolescents' mental health?,It may correlate with worsening emotions and mental health outcomes,It will have no significant effect,It is likely to enhance social interactions,It could lead to improved academic performance,It may correlate with worsening emotions and mental health outcomes,1
35138557,Anxiety,Diagnostic,What aspect of visual attention was shown to be atypical in autistic children during face observation?,Indifference to facial expressions,Preference for mouth gaze,Quick orientation away,Gaze avoidance,Gaze avoidance,4
16687991,Anxiety,Preventive,What is a recommended strategy for managing co-occurring anxiety in individuals with pathological gambling?,Escitalopram treatment,Psychotherapy alone,Antipsychotic augmentation,Avoiding all medications,Escitalopram treatment,1
33658957,Anxiety,Prognostic,How might fear of COVID-19 influence aggressive behaviors in online environments during a pandemic?,Via enhanced empathy,By improving social interactions,By increasing pro-social behaviors,Through moral disengagement,Through moral disengagement,4
36246683,Anxiety,Preventive,What approach may effectively lower psychological cravings in patients undergoing rehabilitation from alcohol dependence?,Individual cognitive therapy,Pharmacological treatment alone,Family therapy only,Grouping motivational interviewing,Grouping motivational interviewing,4
33567978,Anxiety,Prognostic,Which demographic factor was identified as a protective influence against depression during quarantine periods among individuals?,Older age,High education level,Being male,Living with children,Living with children,4
21491216,Anxiety,Preventive,What benefit is associated with the involvement of multiple caregivers in cognitive-behavioral therapy for anxiety in dementia patients?,Enhanced treatment documentation,Increased medication compliance,Reduction in caregiver burnout,Improved family communication,Improved family communication,4
22503436,Anxiety,Prognostic,Which specific anxiety disorder has been shown to predict the onset of alcohol use disorders in adolescents?,Post-traumatic stress disorder,Generalized anxiety disorder,Panic disorder,Social anxiety disorder,Social anxiety disorder,4
35150311,Anxiety,Prognostic,How does maternal psychological distress during pregnancy influence the likelihood of elective cesarean sections?,Increases likelihood,No effect,Decreases likelihood,Only affects labor duration,Increases likelihood,1
34845946,Anxiety,Diagnostic,What emotional challenges are typically faced by patients diagnosed with multi-drug-resistant tuberculosis?,Euphoria about treatment,Indifference to diagnosis,Fear of death,Complete optimism,Fear of death,3
22717171,Anxiety,Diagnostic,"Which biological factor may explain the relationship between severe anxiety disorders, depression, and cardiovascular disease risk?",Dietary habits,Genetic predispositions,Autonomic nervous system activity,HPA axis dysregulation,HPA axis dysregulation,4
34366966,Anxiety,Prognostic,How might attachment style influence the quality of romantic relationships during stressful circumstances?,Anxious attachment improves relationship quality,Attachment style is irrelevant to relationship quality,Avoidant attachment has no impact,Anxious attachment diminishes relationship quality,Anxious attachment diminishes relationship quality,4
22230806,Anxiety,Diagnostic,What type of early life stress has been shown to lead to an anxious/depressive phenotype in rats?,Social isolation,Chronic pain,Food deprivation,Prenatal restraint stress,Prenatal restraint stress,4
36062470,Anxiety,Prognostic,What impact does a positive autism identity have on social anxiety in autistic young people?,It only affects physical health,It increases social anxiety,It may alleviate social anxiety,It has no effect,It may alleviate social anxiety,3
22775580,Anxiety,Factoid,"In comparison to clinically anxious children without autism spectrum disorders, which type of anxiety disorder was reported to be more prevalent in children with high-functioning autism?",Panic disorder,Specific phobias,Generalized anxiety disorder,Social anxiety disorder,Specific phobias,2
21247477,Anxiety,Diagnostic,What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?,It enhances cognitive functioning,It increases neurogenesis,It modulates anxiety-like behavior,It reduces symptoms of depression,It modulates anxiety-like behavior,3
34931763,Anxiety,Diagnostic,What type of anxiety was more frequently reported by parents of preschool children during the COVID-19 curfew?,Performance anxiety,General anxiety,Separation anxiety,Social anxiety,Separation anxiety,3
21769772,Anxiety,Factoid,Which selective serotonin reuptake inhibitor is noted to be effective in treating social anxiety disorder in a patient with pervasive developmental disorder?,Paroxetine,Escitalopram,Fluvoxamine,Sertraline,Fluvoxamine,3
32510786,Anxiety,Preventive,What role do early anxiety symptoms play in the long-term clinical outcomes of individuals experiencing first-episode psychosis?,Aid in early diagnosis,Promote remission,Worsen clinical status,Predict better functioning,Predict better functioning,4
23047429,Anxiety,Prognostic,How might poor sleep quality influence anxious reactivity in individuals with a history of PTSD?,It only affects those without PTSD,It increases anxious responses to trauma cues,It has no effect on anxious responses,It decreases overall anxiety,It increases anxious responses to trauma cues,2
35472479,Anxiety,Preventive,What strategy can higher education institutions adopt to alleviate the impact of anxiety on e-learning intentions among college students?,Decrease course workload,Increase face-to-face interactions,Focus on physical education programs,Improve perceived usefulness of e-learning,Improve perceived usefulness of e-learning,4
23161356,Anxiety,Preventive,What psychological condition is associated with unexpected explicit recall during general anaesthesia?,Anxiety,Post-traumatic stress disorder,Depression,Obsessive-compulsive disorder,Post-traumatic stress disorder,2
23312082,Anxiety,Diagnostic,What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?,Increased cage size,Handling,Isolation,Medication,Handling,2
22039971,Anxiety,Diagnostic,What aspect of anxiety is significantly correlated with experienced sensory pain during labor?,State Anxiety,Trait Anxiety,Anxiety Sensitivity,Postpartum Anxiety,Anxiety Sensitivity,3
22410505,Anxiety,Diagnostic,What condition is commonly associated with heightened sleep disturbances in adolescents admitted to psychiatric facilities?,Hyperarousal,Self-harm behavior,Dysthymia,Poor sleep hygiene,Hyperarousal,1
34208457,Anxiety,Diagnostic,What relationship does differentiation of self have with psychological adjustment post-separation?,Low differentiation enhances conflict,High differentiation causes anxiety,High differentiation is linked to better coping,Separation has no effect on differentiation,High differentiation is linked to better coping,3
34375211,Anxiety,Factoid,Which hormone was identified as being marginally associated with elevated anxiety scores in adolescents?,Testosterone,Thyroxine,Insulin,Prolactin,Testosterone,1
11206029,Anxiety,Diagnostic,What underlying disorders are often associated with social anxiety disorder that can further impair functionality?,Psychosis,Personality disorders,Bipolar disorder,Mood and substance abuse disorders,Mood and substance abuse disorders,4
35855240,Anxiety,Preventive,Which factor significantly impacts the willingness to practice meditation for anxiety management during the pandemic?,Gender and lifestyle choices,Age and comorbidity symptoms,Education level and job stability,Marital status and income level,Age and comorbidity symptoms,2
25495066,Anxiety,Diagnostic,What type of negative thought process is suggested to potentially give rise to symptoms characteristic of generalized anxiety disorder and obsessive compulsive disorder?,Sadness,Worry,Rumination,Fear,Worry,2
36618717,Anxiety,Preventive,What intervention method showed promise in supporting mental health during the COVID-19 pandemic in vulnerable populations?,Meditation retreats,Medication management,Digital Psychological First Aid,In-person group therapy,Digital Psychological First Aid,3
36168097,Anxiety,Preventive,What intervention can be used to manage anxiety symptoms in patients undergoing chemotherapy?,Music therapy,Cognitive-behavioral therapy,Exercise,Medication,Cognitive-behavioral therapy,2
28544955,Anxiety,Factoid,Which emotional symptom was associated with fewer negative cigarette effects in adolescents?,Major Depressive Disorder,Social Anxiety Disorder,Panic Disorder,Generalized Anxiety Disorder,Major Depressive Disorder,1
32389148,Anxiety,Diagnostic,Which factors related to childhood experiences were associated with increased risks of psychological distress in health professional students?,High academic performance,Positive family relationships,Childhood adversity,Stable mental health,Childhood adversity,3
35919807,Anxiety,Preventive,What strategies can be implemented in psychiatric settings to effectively reduce medication errors during patient transitions of care?,Medication audits,Regular patient follow-ups,Therapeutic education for caregivers,Increased medication storage,Medication audits,1
21316266,Anxiety,Factoid,What was the most frequent psychiatric disorder diagnosed among patients with temporal lobe epilepsy with mesial temporal sclerosis?,Psychotic disorders,Obsessive-compulsive disorders,Depressive disorders,Anxiety disorders,Depressive disorders,3
33170956,Anxiety,Diagnostic,What is a common emotional response reported by patients suffering from immune thrombocytopenia upon receiving a delayed diagnosis?,Frustration,Depression,Anxiety,Indifference,Frustration,1
23127351,Anxiety,Prognostic,How might partner behaviors in coping potentially influence stress recovery in individuals with attachment anxiety?,Worsen stress recovery,Create emotional distance,Have no effect,Enhance recovery speed,Enhance recovery speed,4
